,Measurement,Americano,Bourbon Renewal,Bramble,Classic Daiquiri,Coffee Negroni,Dark Daiquiri,Enzoni,Espresso Martini,Espresso Martini,Mai Tai,Manhattan,Margarita,Mexican Firing Squad,Mojito,Negroni,Old Fashioned,Paper Plane,Spicy Marg,Whiskey Sour,Maple Whiskey Sour
Glass,,Low Ball,Low Ball,Low Ball,Coup,Low Ball,Coup,Low Ball,Coup,Coup,Low Ball,Coup,Low Ball,Low Ball,High Ball,Low Ball,Low Ball,Coup,Low Ball,Low Ball,Low Ball
Garnish,,Lemon or Orange Wheel,Lemon Wheel,"Lemon Wheel, Blackberries",Lime Wheel,Lemon Oil,Lime Wheel,Grapes,"Lemon Oil, 3 Coffee beans","Lemon Oil, 3 Coffee beans","Lime husk, Cherry, Mint",Cherry,Lime Wheel,Lime Wheel,Mint,Orange Oil,"Orange Peel, Cherry",Lemon Oil,Lime Wheel,Orange Peel,Orange Peel
Method,,"Stir, Strain","Shake, Double Strain","Shake, Strain","Shake, double strain","Stir, Strain","Shake, double strain","Shake, Double Strain","Hard Shake, Strain","Hard Shake, Double Strain","Shake, open pour","Stir, Strain","Shake, Double Strain","Shake, Double Strain","Shake, Strain","Stir, Strain","Stire, Strain","Shake, Double Strain","Shake, Double Strain","Shake, Double Strain","Shake, Double Strain"
Ice,,Block,Block,Crushed,None,Block,None,Cubes,None,None,Crushed,None,Cubes,Block,Cubes,Block,Block,None,Cubes,Block,Block
Notes,,Top with soda,Can sub Blackberry Liqueur,Liqeuer float,,Mr. Black,,,Express Lemon oil before shaking and on drink,Express Lemon oil before shaking and on drink,"Shake with crushed ice, float dark rum",Chilled Glass,Salt Rim,Reposado,Scrape mint leaves around glass before pouring. Top with soda,,Mix on top of small piece of orange,,"Tajin Rim, Curacao",,Bitters optional
Base Spirit,,Sweet Vermouth,Bourbon,Gin,Rum,Gin,Rum,Gin,Vodka,Cognac,Rum,Rye Whiskey,Tequila,Tequila,Rum,Gin,Bourbon,Bourbon,Mezcal,Bourbon,Bourbon
Agave Nectar,oz,,,,,,,,,,,,,,,,,,0.25,,
Amaro Nonino,oz,,,,,,,,,,,,,,,,,0.75,,,
Angostura Bitters,dashes,,2,,,,,,,,,2,,4,,,4,,,,
Aperol,oz,,,,,,,,,,,,,,,,,0.75,,,
Blackberry Liqueur,oz,,,0.5,,,,,,,,,,,,,,,,,
Blackcurrant Liqueur,oz,,0.5,,,,,,,,,,,,,,,,,,
Bourbon,oz,,2,,,,,,,,,,,,,,2,0.75,,1.5,2
Campari,oz,1.5,,,,0.75,,1,,,,,,,,0.75,,,,,
Coffee Liqueur,oz,,,,,0.75,,,1,1,,,,,,,,,,,
Cognac,oz,,,,,,,,,1,,,,,,,,,,,
Dark Rum,oz,,,,,,,,,,0.5,,,,,,,,,,
Demerara Rum,oz,,,,,,,,,,,,,,,,,,,,
Espresso,oz,,,,,,,,1,1,,,,,,,,,,,
Gin,oz,,,1.5,,1,,1,,,,,,,,1.5,,,,,
Grapes,Grapes,,,,,,,5,,,,,,,,,,,,,
Grenadine,oz,,,,,,,,,,,,,0.75,,,,,,,
"Jalapeno, muddled",Slices,,,,,,,,,,,,,,,,,,3,,
Jamaican Rum,oz,,,,,,2,,,,1,,,,,,,,,,
Lemon Juice,oz,,,0.75,,,,0.75,,,,,,,,,,0.75,,0.75,1
Light Rum,oz,,,,2,,,,,,,,,,2,,,,,,
Lime Juice,oz,,,,0.75,,1,,,,1,,1,0.75,0.75,,,,1,,
Mezcal,oz,,,,,,,,,,,,,,,,,,2,,
Mint,leaves,,,,,,,,,,,,,,10,,,,,,
Orange Liqueur,oz,,,,,,,,,,0.5,,1,,,,,,1,,
Orgeat,oz,,,,,,,,,,0.5,,,,,,,,,,
Rhum Agricole,oz,,,,,,,,,,1,,,,,,,,,,
Rich Demerara Syrup,oz,,,,,,0.5,,0.25,0.25,,,,,0.5,,0.25,,,0.5,
Rye Whiskey,oz,3,,,,,,,,,,2,,,,,,,,,
Semi Rich Simple Syrup,oz,,0.25,0.5,0.5,,,0.5,,,,,,,,,,,,,
Soda Water,oz,,,,,,,,,,,,,,,,,,,,
Sweet Vermouth,oz,1.5,,,,0.25,,,,,,1,,,,0.75,,,,,
Tequila,oz,,,,,,,,,,,,2,1.5,,,,,,,
Vodka,oz,,,,,,,,1,,,,,,,,,,,,
Maple Syrup,oz,,,,,,,,,,,,,,,,,,,,0.25
